,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Atf4,0,0,1,0,0,1,1,1,0
Rock2,0,0,1,0,0,1,1,1,0
Alas1,0,0,0,0,0,1,1,0,0
Lbp,0,0,0,0,0,1,1,0,0
Trio,0,1,1,1,0,0,0,1,1
Cyp4f18,0,1,0,1,1,0,0,0,1
Fcgrt,0,1,1,1,1,0,0,0,0
Cytip,0,0,0,0,0,1,0,0,0
Trpm2,0,0,1,1,1,0,0,1,1
Itgb2l,0,0,0,1,0,0,1,0,1
Syk,0,0,1,1,1,0,1,1,1
Gmnn,0,0,1,0,0,1,1,1,0
Itgb2,0,0,0,1,1,0,0,0,1
Smc4,0,0,0,0,0,1,1,0,0
Hhex,0,0,0,0,0,1,1,0,0
Hmox1,0,1,0,1,1,0,1,0,1
Mcm5,0,0,1,0,0,1,1,1,0
Ctsd,0,1,0,1,1,0,0,0,1
Gfi1,0,0,0,0,0,1,1,0,0
Ctsb,0,0,1,1,1,1,1,0,0
Sqstm1,0,0,1,1,1,0,0,0,0
Ier3,0,0,0,1,1,0,0,0,1
Sla,0,0,0,1,0,0,1,1,1
Smad7,0,1,1,1,1,0,0,0,0
Gli2,0,0,0,1,0,0,1,0,1
Mcm4,0,0,1,0,0,0,0,1,0
Fcgr3,0,0,0,1,1,0,0,0,1
Cdkn2d,0,0,0,1,1,1,1,0,1
Notch1,0,0,0,1,1,1,0,0,0
Ccne2,0,0,1,0,0,0,0,1,0
Il4,0,1,1,1,1,0,0,0,0
Irf1,0,0,0,1,1,0,0,0,1
Ube2h,0,1,1,1,1,1,1,0,0
Ltc4s,0,0,1,1,1,1,1,0,0
Zfp407,0,0,1,0,0,1,1,1,0
Slbp,0,0,1,0,0,1,0,1,0
Lama5,0,0,0,1,1,1,1,0,0
Foxo1,0,0,1,0,0,1,1,1,0
Myh9,0,0,1,1,1,0,1,1,1
Prkcb,0,0,0,1,1,0,1,0,1
Tesc,0,0,1,1,1,1,1,1,1
Cxcr4,0,0,0,1,0,1,0,0,1
Sp140,0,1,0,1,0,0,1,1,1
Ifi27,0,0,0,1,0,0,1,1,1
Ifrd1,0,0,1,1,1,0,0,1,1
Ndrg1,0,1,0,1,1,0,0,0,1
Vps13d,0,0,0,1,1,0,0,0,1
Cenpe,0,0,0,0,0,1,1,0,0
Mcm7,0,0,1,0,0,0,0,1,0
Twist1,0,0,0,1,1,1,0,0,0
Fam162a,0,0,1,1,1,1,0,0,0
Ola1,0,0,1,0,0,1,0,1,0
Nrg4,0,0,1,0,0,1,1,1,0
Nfil3,0,0,1,1,1,0,0,1,1
Id1,0,0,1,1,1,0,1,1,1
Stat1,0,0,0,1,0,1,1,1,1
Rel,0,0,1,1,1,0,0,1,1
Aspm,0,0,0,0,0,1,1,0,0
Dgkg,0,0,0,1,1,1,1,0,0
Baiap2,0,0,1,1,1,0,1,1,1
Pde2a,0,0,0,1,0,1,1,0,1
Tbp,0,1,1,0,0,1,1,1,0
Brca1,0,0,1,0,0,0,1,1,0
Nme1,0,0,1,0,0,0,1,1,0
Angpt1,0,0,1,0,0,0,1,1,0
Adgre5,0,0,0,1,1,1,1,0,1
E2f7,0,1,1,0,0,0,1,1,0
Tk1,0,0,1,0,0,1,1,1,0
Txnip,0,0,0,1,1,1,1,0,1
Bnip3,0,1,1,1,1,0,0,0,0
Arid5b,0,1,0,0,1,1,1,0,0
Bub3,0,0,0,0,0,1,0,0,0
Sec14l1,0,0,1,1,1,1,0,0,0
Ncf1,0,0,0,1,1,0,1,0,1
Hmgn2,0,0,0,0,0,1,1,0,0
Sp3,0,0,0,1,1,1,1,0,1
Plekho1,0,1,1,1,1,1,1,0,0
Tbxas1,0,0,0,1,1,1,0,0,1
Rb1,0,0,1,1,1,1,1,0,0
Mki67,0,0,1,0,0,1,1,1,0
Inhba,0,0,0,1,0,1,1,0,1
E2f8,0,0,1,0,0,0,0,1,0
Ada,0,0,0,1,0,1,1,0,1
Niban1,0,1,1,1,1,0,0,1,1
Cebpb,0,0,1,1,1,0,0,1,1
Hbp1,0,1,1,1,1,1,1,0,0
Mcm6,0,0,1,0,0,1,0,1,0
Nr1i2,0,1,0,1,1,0,1,0,1
Ccnd3,0,0,0,1,1,0,0,0,1
Gpx3,0,0,0,0,0,1,1,0,0
Pold1,0,0,1,0,0,0,1,1,0
Pbx2,0,0,0,0,0,1,1,0,0
Vcam1,0,0,0,1,1,1,1,0,0
Dlgap5,0,0,0,0,0,1,1,0,0
Ahnak,0,1,1,1,1,0,0,0,0
Mtus1,0,0,0,1,0,1,1,0,0
Cebpe,0,0,0,1,0,0,0,0,1
Atad2,0,0,1,0,0,1,1,1,0
Tiam1,0,0,1,1,1,1,0,0,0
Bbx,0,1,1,0,0,1,1,1,0
Stat6,0,0,1,1,1,0,0,1,1
Klf10,0,0,1,1,1,0,0,1,1
Ninj1,0,0,1,1,1,0,0,1,1
Wt1,0,0,1,1,1,0,0,0,0
Bcor,0,1,0,1,1,0,0,0,0
Tcn2,0,0,1,1,1,1,1,0,0
Apobr,0,1,0,1,1,0,0,0,1
Dnmt1,0,0,1,0,0,1,1,1,0
Lig1,0,0,1,0,0,1,1,1,0
F10,0,0,1,1,1,1,1,0,0
Ltf,0,0,0,1,0,0,0,0,1
Itgb5,0,1,0,1,0,1,1,0,0
Rad21,0,0,0,0,0,1,1,0,0
Gda,0,0,0,0,0,1,1,0,0
Smad4,0,0,1,1,1,1,0,0,0
Pink1,0,1,1,1,1,0,1,0,0
Mcm3,0,0,1,0,0,0,0,1,0
Tnfaip8l1,0,0,0,0,0,1,0,0,0
Per3,0,0,0,0,0,1,1,0,0
Syne1,0,0,1,1,1,0,1,1,1
Mctp1,0,0,0,1,0,1,1,0,1
Ass1,0,0,0,1,1,0,0,0,0
Nfkbia,0,0,0,1,1,0,0,0,1
Pou2f2,0,1,0,1,1,0,0,0,1
Rnf144a,0,0,0,1,0,0,0,0,1
Ehd1,0,0,1,1,1,0,1,1,1
Pdx1,0,1,0,1,0,1,1,0,1
E2f1,0,0,1,0,0,0,1,1,0
Srebf1,0,1,1,0,0,1,1,1,0
Ccne1,0,0,1,0,0,0,0,1,0
Id2,0,0,0,1,1,0,1,0,1
Fas,0,0,0,1,1,1,1,0,1
Nfkb2,0,0,0,1,1,0,1,0,1
Krt18,0,1,1,1,1,0,0,0,0
Bach1,0,0,1,0,0,0,0,1,0
Actn1,0,0,0,1,0,1,1,0,1
Tcf7l2,0,0,1,1,0,1,1,0,0
App,0,0,1,0,0,1,1,1,0
Ceacam1,0,0,0,1,1,1,1,0,1
Hspa5,0,0,1,0,0,0,0,1,0
Rrm1,0,0,1,0,0,0,1,1,0
Adora2b,0,1,1,1,1,0,0,1,1
Siva1,0,0,1,0,0,0,1,1,0
Ddit4,0,1,1,1,1,1,1,0,0
Cd24a,0,0,0,1,1,0,0,0,1
Bax,0,0,1,1,1,1,1,0,0
Ndst1,0,1,1,1,1,0,0,1,1
Etv6,0,1,1,0,0,1,1,1,0
Gstp3,0,0,0,1,1,1,1,0,0
Fam107b,0,1,0,0,1,1,1,0,0
Tpx2,0,0,1,0,0,1,1,1,0
Socs1,0,0,0,1,1,0,0,0,0
Cyp11a1,0,1,1,1,1,0,0,0,0
Ppp1r15a,0,0,1,1,1,1,0,0,0
Slc40a1,0,0,0,0,0,1,1,0,0
Spi1,0,1,0,1,1,1,1,0,1
Ets1,0,0,0,1,0,0,1,0,1
Ccng2,0,1,1,1,1,1,1,0,0
Irf4,0,0,0,1,1,0,0,0,1
Ckap2l,0,0,0,0,0,1,1,0,0
E2f2,0,1,1,1,1,1,1,1,1
Anxa2,0,0,0,1,1,0,0,0,1
Nr5a1,0,1,1,0,0,0,1,1,0
Sh2b3,0,0,1,1,1,0,0,1,1
Plaur,0,0,0,1,1,0,0,0,1
Btg2,0,1,0,1,1,0,0,0,1
Fosl1,0,0,0,0,0,0,0,0,0
Myo5a,0,1,0,1,0,0,1,0,1
Atp2a2,0,0,1,0,0,1,1,1,0
Slco4a1,0,0,0,0,0,1,1,0,0
Abca3,0,0,0,0,0,1,0,0,0
Ckap5,0,0,0,0,0,1,1,0,0
Cebpa,0,1,1,0,0,1,1,1,0
Foxo3,0,1,1,1,1,1,0,0,0
Egr1,0,0,1,0,0,1,0,1,0
F2r,0,0,1,1,1,1,1,0,0
Ptgds,1,1,0,0,0,0,0,0,0
Atxn7,1,1,1,0,0,0,0,1,0
Tshr,1,1,0,0,0,1,1,0,0
Cenpf,1,0,0,0,0,1,1,0,0
Ccnb1,1,0,0,0,0,1,1,0,0
Lfng,1,1,0,0,0,1,1,0,0
Cbx5,1,0,1,0,0,1,1,1,0
Ahr,1,1,1,1,1,1,1,0,0
Hnrnpdl,1,1,1,0,0,1,0,1,0
Plk1,1,0,0,0,0,1,1,0,0
Sfi1,1,1,0,0,0,1,1,0,0
Tcf7,1,1,1,1,0,0,0,0,0
Rrp1b,1,1,1,0,0,0,0,1,0
Gnl3,1,1,1,0,0,1,0,1,0
Ubr5,1,1,1,0,0,0,1,1,0
Katnip,1,1,0,0,0,1,1,0,0
Prkcd,1,0,0,1,1,0,1,1,1
Birc5,1,0,1,0,0,1,1,1,0
Trps1,1,1,1,1,1,0,0,0,0
Pik3cd,1,1,1,0,1,0,0,1,0
Atp2b4,1,1,0,0,0,1,1,0,0
Stat3,1,1,0,1,1,0,0,0,0
Taf1d,1,1,1,0,0,1,0,1,0
Mcm2,1,0,1,0,0,1,0,1,0
Smarca4,1,0,1,0,0,1,0,1,0
Hat1,1,0,1,0,0,0,0,1,0
Tmpo,1,0,1,0,0,1,1,1,0
Vdr,1,1,1,0,0,1,1,1,0
Eif4g3,1,1,0,0,0,1,1,0,0
Hip1,1,1,1,0,0,0,0,1,0
Stat2,1,1,0,1,0,1,1,1,1
Mat2a,1,1,1,0,0,1,1,1,0
Fcgr2b,1,0,0,1,1,0,0,0,1
Lmna,1,1,1,1,1,1,1,0,0
Cdkn2a,1,1,0,1,1,0,0,0,0
Pold2,1,1,1,0,0,1,0,1,0
Rab27a,1,1,0,0,0,1,1,0,0
Itgb7,1,1,0,1,1,0,0,0,1
Hif1a,1,1,1,1,1,0,0,0,0
Shmt2,1,0,1,0,0,1,0,1,0
Rbms1,1,1,1,0,0,1,1,1,0
Ccna2,1,0,1,0,0,1,1,1,0
Pou2f1,1,1,1,1,1,0,0,0,0
Atad3a,1,1,1,0,0,1,0,1,0
Pde4b,1,1,0,0,0,1,1,0,0
Ccnd2,1,1,1,1,1,0,0,0,0
Ano6,1,1,0,0,0,1,0,0,0
Kif2c,1,0,1,0,0,1,1,1,0
Tef,1,1,0,0,0,1,1,0,0
Cdca7,1,0,1,0,0,1,1,1,0
Ccnb2,1,0,0,0,0,1,1,0,0
Csgalnact1,1,1,1,1,1,0,0,0,0
Vps13c,1,1,1,0,0,0,0,1,0
Fto,1,1,1,0,0,1,1,1,0
Capn2,1,1,1,1,1,0,0,0,0
Pou5f1,1,1,1,0,0,0,0,1,0
St14,1,0,0,1,1,0,0,0,1
Itgam,1,0,0,1,1,0,0,0,1
Cdk6,1,1,0,0,0,1,1,0,0
Cdkn1a,1,0,0,1,1,0,0,0,0
Foxa1,1,0,1,0,0,1,0,1,0
Fes,1,0,0,1,1,1,1,0,0
Jund,1,1,1,1,1,0,0,1,1
Mxd4,1,1,0,0,0,0,0,0,0
Zfp263,1,1,0,1,0,1,0,0,1
Rbbp4,1,0,1,0,0,1,0,1,0
Kpnb1,1,1,1,0,0,0,0,1,0
Cdc45,1,0,1,0,0,0,0,1,0
Dhfr,1,0,1,0,0,0,0,1,0
Uhrf1,1,0,1,0,0,1,0,1,0
Zfp292,1,1,0,0,0,1,1,0,0
Spp1,1,1,1,0,0,0,1,1,0
Hnf1a,1,1,0,0,0,1,1,0,0
Tet3,1,1,0,0,0,1,1,0,0
Cdca2,1,0,0,0,0,1,0,0,0
Sqle,1,0,1,0,0,1,1,1,0
Il12a,1,1,1,1,0,0,0,0,0
Fasn,1,1,1,0,0,0,1,1,0
Ldlrad4,1,1,1,0,0,0,0,0,0
Top2a,1,0,1,0,0,1,1,1,0
Aff1,1,1,0,1,0,0,0,0,1
F5,1,1,0,0,0,1,1,0,0
Rnase4,1,1,0,1,1,0,0,0,0
Exosc8,1,0,1,0,0,1,1,1,0
Ascl2,1,1,1,0,0,1,1,1,0
Iqgap2,1,1,1,0,0,0,0,1,0
Gstm2,1,1,0,0,0,1,1,0,0
Ppara,1,0,1,0,0,1,1,1,0
Trp73,1,1,0,0,0,1,1,0,0
Myo18a,1,1,0,0,0,1,1,0,0
Kat6a,1,1,0,0,0,1,1,0,0
Pmf1,1,0,1,0,0,0,1,1,0
Zeb2,1,1,0,0,0,1,1,0,0
Klf5,1,1,0,1,1,0,1,0,0
Neurl3,1,1,0,1,1,0,0,0,1
Hpcal1,1,0,0,1,1,0,0,0,1
Cdc25b,1,1,0,0,0,1,1,0,0
Enah,1,1,1,1,1,1,1,0,0
Parp1,1,1,1,0,0,1,1,1,0
Nfe2l2,1,1,1,0,0,1,1,1,0
Adam17,1,1,0,0,0,1,1,0,0
Pnrc1,1,1,0,1,1,0,0,0,1
Ezh2,1,0,1,0,0,1,1,1,0
Mdm2,1,1,0,0,0,1,1,0,0
Rin3,1,1,0,0,0,0,1,0,0
Satb1,1,1,1,1,1,0,0,1,1
Svil,1,1,0,1,0,0,0,0,1
Egln3,1,1,1,1,0,0,0,1,0
Thrap3,1,1,1,0,0,1,1,1,0
Esr2,1,1,0,1,1,0,0,0,0
Atp8b4,1,1,0,0,0,1,1,0,0
Itga2b,1,1,0,1,1,0,0,0,0
Hipk2,1,1,1,0,0,0,1,1,0
Gpr141,1,1,0,1,0,0,0,1,1
Srm,1,1,1,0,0,1,0,1,0
Cdkn2c,1,0,1,0,0,0,0,1,0
Sod1,1,1,1,1,1,1,0,0,0
Cd34,1,1,1,0,0,0,0,0,0
Sptbn1,1,1,0,0,0,1,1,0,0
Tacc3,1,0,0,0,0,1,1,0,0
Rev3l,1,1,1,0,0,0,1,1,0
Prox1,1,1,0,0,0,1,1,0,0
Casp8ap2,1,0,1,0,0,1,0,1,0
Cd1d1,1,1,0,0,0,0,0,0,0
Nr0b1,1,1,1,0,0,1,0,1,0
Asns,1,1,1,0,0,1,0,1,0
Rcc2,1,0,1,0,0,1,1,1,0
Cenpb,1,1,1,0,0,0,1,1,0
Pde4d,1,0,0,0,0,1,1,0,0
Stmn1,1,0,1,0,0,1,1,1,0
F7,1,1,0,0,0,1,0,0,0
Cdk4,1,1,1,0,0,1,0,1,0
Cep128,1,0,0,0,0,1,1,0,0
Aff3,1,1,1,0,0,0,0,1,0
Schip1,1,1,1,0,0,0,1,1,0
Rrm2,1,0,1,0,0,0,0,1,0
Osbpl5,1,1,0,0,0,1,1,0,0
Prkdc,1,1,1,0,0,1,1,1,0
Trp53,1,0,1,0,0,1,0,1,0
Csf2,1,1,1,1,1,1,0,0,0
Smarcc1,1,0,1,0,0,1,1,1,0
Srebf2,1,1,0,0,0,1,1,0,0
Paics,1,1,1,0,0,1,1,1,0
Rela,1,1,0,1,1,1,1,0,1
Prps1l1,1,1,0,0,0,1,1,0,0
Hspe1,1,1,1,0,0,1,0,1,0
Ppat,1,0,1,0,0,1,0,1,0
Csf3r,1,1,0,0,0,1,1,0,0
Sipa1l1,1,1,0,0,0,0,0,0,0
Fndc3b,1,1,0,0,0,0,0,0,0
Kif13a,1,1,0,0,0,1,1,0,0
Gnaq,1,1,0,1,0,0,0,0,1
Nop56,1,0,1,0,0,1,0,1,0
Ctsl,1,1,0,0,0,1,1,0,0
Galnt6,1,1,1,1,1,1,1,0,0
Nfkb1,1,1,1,1,1,0,0,0,0
Fbxo5,1,0,1,0,0,1,1,1,0
Tfr2,1,1,0,0,0,0,0,0,0
Mtss1,1,1,0,0,0,1,1,0,0
Fbxl5,1,1,1,1,1,0,0,1,1
Plk4,1,0,1,0,0,1,1,1,0
Bst2,1,1,0,0,0,0,0,0,0
Lhfpl2,1,1,1,1,1,1,0,0,0
