,S0,S2,S3,S4,S5,S1
Aldh9a1,0,1,1,1,1,0
Umps,0,1,1,1,1,0
Cenpf,0,1,0,1,1,0
Ccnb1,0,1,0,1,1,0
Lbp,0,0,1,0,1,0
Cpox,0,1,0,1,1,0
Uimc1,0,1,0,1,1,0
Col5a1,0,0,0,1,0,0
Tpm4,0,1,0,0,0,0
Tcf19,0,1,0,1,1,0
Plk1,0,1,0,1,1,0
Cldn13,0,1,0,1,1,0
Kmt2a,0,1,0,0,0,0
Gpr160,0,1,1,0,1,0
Bach2,0,1,0,0,0,0
Gnl3,0,1,1,1,1,0
Naip6,0,1,0,0,1,1
Cnot9,0,1,1,1,1,0
Birc5,0,1,0,1,1,0
Gmnn,0,1,0,1,1,0
Smc4,0,1,0,1,1,0
Cdca3,0,1,0,1,1,0
Ankrd44,0,1,0,0,1,0
Rxra,0,0,0,0,0,1
Ift140,0,1,0,1,1,0
Six5,0,1,0,1,0,0
Mcm2,0,1,1,1,1,0
Hat1,0,1,1,1,1,0
Mcm5,0,1,1,1,1,0
Bub1b,0,1,0,1,1,0
Ctnnal1,0,0,0,0,0,1
Osbpl8,0,1,1,1,1,0
Pxylp1,0,1,0,0,1,0
Tap1,0,1,0,0,1,0
Stat2,0,1,0,0,1,0
Xrcc3,0,1,0,1,1,0
Lmna,0,0,0,1,0,1
Fignl1,0,1,0,1,1,0
Sult1a1,0,0,0,0,0,1
Clp1,0,1,0,1,1,0
B3galnt2,0,1,0,1,1,0
Stt3b,0,1,1,1,1,0
Cybb,0,1,1,0,1,0
Hif1a,0,0,0,1,0,0
Txnrd2,0,1,0,1,1,0
Slc18a2,0,0,0,0,0,1
Elane,0,0,1,0,1,0
Ccna2,0,1,0,1,1,0
Pou2f1,0,0,0,0,1,0
Cdk19,0,1,0,0,1,0
Pigq,0,1,0,1,1,0
Pclaf,0,1,0,1,1,0
Rassf4,0,1,1,0,1,0
Cdca7,0,1,1,1,1,0
Slc30a5,0,1,1,1,1,0
Xbp1,0,1,1,1,1,0
Ccnb2,0,1,0,1,1,0
Ndc1,0,1,0,1,1,0
Prnp,0,1,0,1,1,1
Gfi1b,0,0,0,1,0,0
1700017B05Rik,0,1,0,1,1,0
